no,token,pos,actual_label,predicted_label,sent_no,token_no,sent
1,Αἰγύπτιά,a-p---na-,ethnic,0,2,28,τούτους γὰρ ἀπὸ τῆς Ἐρυθρῆς καλεομένης θαλάσσης ἀπικομένους ἐπὶ τήνδε τὴν θάλασσαν καὶ οἰκήσαντας τοῦτον τὸν χῶρον τὸν καὶ νῦν οἰκέουσι αὐτίκα ναυτιλίῃσι μακρῇσι ἐπιθέσθαι ἀπαγινέοντας δὲ φορτία Αἰγύπτιά τε καὶ Ἀσσύρια τῇ τε ἄλλῃ ἐσαπικνέεσθαι καὶ δὴ καὶ ἐς Ἄργος
2,Ἀσίην,n-s---fa-,place,0,14,28,σφέας μὲν δὴ τοὺς ἐκ τῆς Ἀσίης λέγουσι Πέρσαι ἁρπαζομενέων τῶν γυναικῶν λόγον οὐδένα ποιήσασθαι Ἕλληνας δὲ Λακεδαιμονίης εἵνεκεν γυναικὸς στόλον μέγαν συναγεῖραι καὶ ἔπειτα ἐλθόντας ἐς τὴν Ἀσίην τὴν Πριάμου δύναμιν κατελεῖν
3,Σαρδίων,n-p---mg-,place,ethnic,26,8,ἦν Κανδαύλης τὸν οἱ Ἕλληνές Μυρσίλον ὀνομάζουσι τύραννος Σαρδίων ἀπόγονος δὲ Ἀλκαίου τοῦ Ἡρακλέος
4,Σαρδίων,n-p---mg-,place,ethnic,27,13,Ἄγρων μὲν γὰρ ὁ Νίνου τοῦ Βήλου τοῦ Ἀλκαίου πρῶτος Ἡρακλειδέων βασιλεὺς ἐγένετο Σαρδίων Κανδαύλης δὲ ὁ Μύρσου ὕστατος
5,Πάριος,a-s---mn-,ethnic,0,29,22,καὶ μετὰ ταῦτα ἀναπαυομένου Κανδαύλεω ὑπεκδύς τε καὶ ἀποκτείνας αὐτὸν ἔσχε καὶ τὴν γυναῖκα καὶ τὴν βασιληίην Γύγης τοῦ καὶ Ἀρχίλοχος ὁ Πάριος κατὰ τὸν αὐτὸν χρόνον γενόμενος ἐν ἰάμβῳ τριμέτρῳ ἐπεμνήσθη
6,Σαρδίων,n-p---mg-,place,ethnic,37,13,οὗτος δὲ Πριηνέας τε εἷλε ἐς Μίλητόν τε ἐσέβαλε ἐπὶ τούτου τε τυραννεύοντος Σαρδίων Κιμμέριοι ἐξ ἠθέων ὑπὸ Σκυθέων τῶν νομάδων ἐξαναστάντες ἀπίκοντο ἐς τὴν Ἀσίην καὶ Σάρδις πλὴν τῆς ἀκροπόλιος εἷλον
7,Μιλησίην,a-s---fa-,place,0,45,19,τὰ μέν νυν ἓξ ἔτεα τῶν ἕνδεκα Σαδυάττης ὁ Ἄρδυος ἔτι Λυδῶν ἦρχε ὁ καὶ ἐσβάλλων τηνικαῦτα ἐς τὴν Μιλησίην τὴν στρατιήν
8,Ἀθηναίης,a-s---fg-,place,0,48,9,ὡς ἅφθη τάχιστα τὸ λήιον ἀνέμῳ βιώμενον ἅψατο νηοῦ Ἀθηναίης ἐπίκλησιν Ἀσσησίης ἁφθεὶς δὲ ὁ νηὸς κατεκαύθη
9,Ἀθηναίης,a-s---fg-,place,0,51,15,τοῖσι δὲ ἡ Πυθίη ἀπικομένοισι ἐς Δελφοὺς οὐκ ἔφη χρήσειν πρὶν ἢ τὸν νηὸν τῆς Ἀθηναίης ἀνορθώσωσι τὸν ἐνέπρησαν χώρης τῆς Μιλησίης ἐν Ἀσσησῷ
10,Λέσβιοἰ,n-s---fn-,ethnic,0,63,7,τῷ δὴ λέγουσι Κορίνθιοι ʽὁμολογέουσι δέ σφι Λέσβιοἰ ἐν τῷ βίῳ θῶμα μέγιστον παραστῆναι Ἀρίονα τὸν Μηθυμναῖον ἐπὶ δελφῖνος ἐξενειχθέντα ἐπὶ Ταίναρον ἐόντα κιθαρῳδὸν τῶν τότε ἐόντων οὐδενὸς δεύτερον καὶ διθύραμβον πρῶτον ἀνθρώπων τῶν ἡμεῖς ἴδμεν ποιήσαντά τε καὶ ὀνομάσαντα καὶ διδάξαντα ἐν Κορίνθῳ
